epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,262.848,0.59148,0.3683,0.81902,0.9325,0.75728,0.89202,0.57302,1.2115,0.6751,0.9845,0.0003665,0.0003665,0.0003665
167,264.388,0.58848,0.35532,0.81625,0.92796,0.7504,0.89348,0.58452,1.18786,0.6766,0.98232,0.0003566,0.0003566,0.0003566
168,265.938,0.58251,0.35958,0.82492,0.95705,0.74757,0.8831,0.56685,1.19917,0.69316,0.9877,0.0003467,0.0003467,0.0003467
169,267.477,0.58834,0.35763,0.84807,0.90825,0.74757,0.88518,0.57123,1.18822,0.68431,0.98236,0.0003368,0.0003368,0.0003368
170,269.017,0.56567,0.35184,0.81628,0.91977,0.74757,0.89317,0.57131,1.19998,0.68712,0.98294,0.0003269,0.0003269,0.0003269
171,270.562,0.54042,0.34061,0.82488,0.91507,0.75728,0.88416,0.56043,1.20794,0.7115,0.98788,0.000317,0.000317,0.000317
172,272.112,0.56486,0.34615,0.82415,0.95087,0.75157,0.88304,0.56179,1.19608,0.71333,0.97845,0.0003071,0.0003071,0.0003071
173,273.644,0.53321,0.33234,0.81993,0.91666,0.74753,0.8806,0.56207,1.20579,0.69638,0.98828,0.0002972,0.0002972,0.0002972
174,275.188,0.58076,0.35681,0.83029,0.93022,0.7766,0.89813,0.56987,1.21047,0.665,0.98836,0.0002873,0.0002873,0.0002873
175,276.718,0.54981,0.35152,0.83202,0.94992,0.73658,0.8934,0.57086,1.19497,0.64111,0.98505,0.0002774,0.0002774,0.0002774
176,278.365,0.59439,0.36626,0.83443,0.93738,0.73786,0.88615,0.56648,1.21574,0.65619,0.9891,0.0002675,0.0002675,0.0002675
177,279.901,0.54442,0.33719,0.81437,0.9497,0.7332,0.87978,0.57272,1.21047,0.65024,0.98699,0.0002576,0.0002576,0.0002576
178,281.436,0.58487,0.35517,0.82362,0.93292,0.74757,0.87775,0.57231,1.18622,0.67122,0.9838,0.0002477,0.0002477,0.0002477
